repo,since,until
openmrs-core,2000-01-01,
openmrs-standalone,2000-01-01,
openmrs-contrib-uitestframework,2000-01-01,
openmrs-contrib-bamboo,2000-01-01,
openmrs-module-xforms,2000-01-01,
openmrs-module-sync,2000-01-01,
openmrs-module-fhir,2000-01-01,
openmrs-module-legacyui,2000-01-01,
openmrs-module-openconceptlab,2000-01-01,
openmrs-distro-platform,2000-01-01,
openmrs-distro-referenceapplication,2000-01-01,
openmrs-module-referenceapplication,2000-01-01,
openmrs-module-referencemetadata,2000-01-01,
openmrs-module-referencedemodata,2000-01-01,
openmrs-module-appframework,2000-01-01,
openmrs-module-uiframework,2000-01-01,
openmrs-module-registrationcore,2000-01-01,
openmrs-module-registrationapp,2000-01-01,
openmrs-module-event,2000-01-01,
openmrs-module-idgen,2000-01-01,
openmrs-module-emrapi,2000-01-01,
openmrs-module-providermanagement,2000-01-01,
openmrs-module-uilibrary,2000-01-01,
openmrs-module-calculation,2000-01-01,
openmrs-module-serialization.xstream,2000-01-01,
openmrs-module-htmlwidgets,2000-01-01,
openmrs-module-reporting,2000-01-01,
openmrs-module-reportingrest,2000-01-01,
openmrs-module-metadatadeploy,2000-01-01,
openmrs-module-metadatasharing,2000-01-01,
openmrs-module-metadatamapping,2000-01-01,
openmrs-module-uicommons,2000-01-01,
openmrs-module-appui,2000-01-01,
openmrs-module-htmlformentry,2000-01-01,
openmrs-module-htmlformentry19ext,2000-01-01,
openmrs-module-htmlformentryui,2000-01-01,
openmrs-module-webservices.rest,2000-01-01,
openmrs-module-dataexchange,2000-01-01,
openmrs-module-allergyapi,2000-01-01,
openmrs-module-allergyui,2000-01-01,
openmrs-module-formentryapp,2000-01-01,
openmrs-module-atlas,2000-01-01,
openmrs-module-chartsearch,2000-01-01,
openmrs-module-appointmentscheduling,2000-01-01,
openmrs-module-appointmentschedulingui,2000-01-01,
openmrs-module-namephonetics,2000-01-01,
openmrs-module-adminui,2000-01-01,
openmrs-module-addresshierarchy,2000-01-01,
openmrs-module-coreapps,2000-01-01,